Image_ID,Class
frame0.jpg,0
frame1.jpg,0
frame2.jpg,0
frame3.jpg,0
frame4.jpg,1
frame5.jpg,1
frame6.jpg,1
frame7.jpg,0
frame8.jpg,0
frame9.jpg,1
frame10.jpg,0
frame11.jpg,0
frame12.jpg,0
frame13.jpg,0
frame14.jpg,1
frame15.jpg,1
frame16.jpg,1
frame17.jpg,1
frame18.jpg,1
frame19.jpg,0
frame20.jpg,0
frame21.jpg,0
frame22.jpg,0
frame23.jpg,0
frame24.jpg,0
frame25.jpg,0
frame26.jpg,0
frame27.jpg,1
frame28.jpg,0
frame29.jpg,0
frame30.jpg,0
frame31.jpg,0
frame32.jpg,0
frame33.jpg,0
frame34.jpg,0
frame35.jpg,0
frame36.jpg,0
frame37.jpg,0
frame38.jpg,0
frame39.jpg,0
frame40.jpg,0
frame41.jpg,0
frame42.jpg,1
frame43.jpg,0
frame44.jpg,0
frame45.jpg,1
frame46.jpg,1
frame47.jpg,1
frame48.jpg,1
frame49.jpg,1
frame50.jpg,1
frame51.jpg,1
frame52.jpg,1
frame53.jpg,1
frame54.jpg,1
frame55.jpg,1
frame56.jpg,1
frame57.jpg,1
frame58.jpg,1
frame59.jpg,0
frame60.jpg,0
frame61.jpg,0
frame62.jpg,0
frame63.jpg,0
frame64.jpg,0
frame65.jpg,0
frame66.jpg,0
frame67.jpg,0
frame68.jpg,0
frame69.jpg,0
frame70.jpg,0
frame71.jpg,0
frame72.jpg,0
frame73.jpg,0
frame74.jpg,0
frame75.jpg,0
frame76.jpg,0
frame77.jpg,0
frame78.jpg,0
frame79.jpg,0
frame80.jpg,1
frame81.jpg,1
frame82.jpg,1
frame83.jpg,1
frame84.jpg,1
frame85.jpg,1
frame86.jpg,1
frame87.jpg,1
frame88.jpg,1
frame89.jpg,1
frame90.jpg,0
frame91.jpg,0
frame92.jpg,1
frame93.jpg,1
frame94.jpg,1
frame94.jpg,1
frame96.jpg,1
frame97.jpg,1
frame98.jpg,1
frame99.jpg,1
frame100.jpg,0
frame101.jpg,0
frame102.jpg,0
frame103.jpg,0
frame104.jpg,0
frame105.jpg,0
frame106.jpg,0
frame107.jpg,0
frame108.jpg,0
frame109.jpg,0
frame110.jpg,0
frame111.jpg,0
frame112.jpg,0
frame113.jpg,0
frame114.jpg,1
frame115.jpg,1
frame116.jpg,1
frame117.jpg,1
frame118.jpg,0
frame119.jpg,1
frame120.jpg,1
frame121.jpg,0
frame122.jpg,0
frame123.jpg,1
frame124.jpg,0
frame125.jpg,1
frame126.jpg,1
frame127.jpg,0
frame128.jpg,0
frame129.jpg,0
frame130.jpg,1
frame131.jpg,1
frame132.jpg,1
frame133.jpg,1
frame134.jpg,0
frame135.jpg,0
frame136.jpg,0
frame137.jpg,0
frame138.jpg,0
frame139.jpg,0
frame140.jpg,1
frame141.jpg,1
frame142.jpg,1
frame143.jpg,1
frame144.jpg,1
frame145.jpg,1
frame146.jpg,1
frame147.jpg,1
frame148.jpg,1
frame149.jpg,0
frame150.jpg,1
frame151.jpg,0
frame152.jpg,1
frame153.jpg,1
frame154.jpg,1
frame155.jpg,0
frame156.jpg,0
frame157.jpg,1
frame158.jpg,1
frame159.jpg,1
frame160.jpg,1
frame161.jpg,1
frame162.jpg,1
frame163.jpg,1
frame164.jpg,1
frame165.jpg,0
frame166.jpg,0
frame167.jpg,0
frame168.jpg,0
frame169.jpg,0
frame170.jpg,0
frame171.jpg,0
frame172.jpg,0
frame173.jpg,0
frame174.jpg,0
frame175.jpg,0
frame176.jpg,0
frame177.jpg,1
frame178.jpg,1
frame179.jpg,1
frame180.jpg,1
frame181.jpg,0
frame182.jpg,1
frame183.jpg,1
frame184.jpg,0
frame185.jpg,1
frame186.jpg,0
frame187.jpg,1
frame188.jpg,1
frame189.jpg,0
frame190.jpg,0
frame191.jpg,1
frame192.jpg,1
frame193.jpg,1
frame194.jpg,1
frame195.jpg,1
frame196.jpg,1
frame197.jpg,0
frame198.jpg,0
frame199.jpg,0
frame200.jpg,0
frame201.jpg,0
frame202.jpg,1
frame203.jpg,1
frame204.jpg,1
frame205.jpg,1
frame206.jpg,1
frame207.jpg,1
frame208.jpg,1
frame209.jpg,1
frame210.jpg,1
frame211.jpg,1
frame212.jpg,1
